NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP25	6585	0.20532502233982086	-0.43272638	No	
row_1	KLKB1	7092	0.10532710701227188	-0.46399164	No	
row_2	MMP17	8508	-0.13323785364627838	-0.5550005	No	
row_3	CTSV	8618	-0.1557721495628357	-0.55878395	No	
row_4	CTRB1	9280	-0.2951435446739197	-0.59613234	No	
row_5	FURIN	10142	-0.5330126881599426	-0.6414864	No	
row_6	MMP13	10178	-0.541063129901886	-0.631811	No	
row_7	TIMP1	11020	-0.8474138975143433	-0.66886425	No	
row_8	SPOCK3	11320	-0.9729200005531311	-0.6671423	No	
row_9	MMP15	12259	-1.4114989042282104	-0.6981266	No	
row_10	CTSK	12804	-1.7514302730560303	-0.69540834	No	
row_11	MMP10	13687	-2.420713424682617	-0.7002919	Yes	
row_12	MMP16	13937	-2.6485495567321777	-0.6580878	Yes	
row_13	MMP11	14361	-3.2004950046539307	-0.61519736	Yes	
row_14	MMP1	14460	-3.3485217094421387	-0.5474422	Yes	
row_15	MMP14	14554	-3.529125452041626	-0.47534966	Yes	
row_16	MMP24	14629	-3.6646335124969482	-0.39899015	Yes	
row_17	TIMP2	14694	-3.8360795974731445	-0.31816426	Yes	
row_18	COL18A1	14831	-4.237072944641113	-0.23322642	Yes	
row_19	MMP7	14938	-4.720612049102783	-0.13557258	Yes	
row_20	MMP2	15064	-6.5321736335754395	9.960119E-4	Yes	
