NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSD	4705	0.7363805770874023	-0.2983068	No	
row_1	TMPRSS6	5240	0.5525374412536621	-0.32304528	No	
row_2	PHYKPL	6762	0.1653348058462143	-0.42089373	No	
row_3	COL9A1	7036	0.11487992852926254	-0.43679962	No	
row_4	ADAM9	7125	0.10036247223615646	-0.4406954	No	
row_5	MMP19	7461	0.0427282452583313	-0.46212375	No	
row_6	COL12A1	7623	0.015521611087024212	-0.47251964	No	
row_7	CTSL	8455	-0.12205523252487183	-0.5253624	No	
row_8	COL25A1	9840	-0.44500285387039185	-0.6086701	No	
row_9	FURIN	10142	-0.5330126881599426	-0.6183065	No	
row_10	MMP13	10178	-0.541063129901886	-0.610112	No	
row_11	COL9A3	10521	-0.6576268076896667	-0.6200497	No	
row_12	ADAM17	10561	-0.6716961860656738	-0.609581	No	
row_13	COL16A1	10885	-0.7951722145080566	-0.61558187	No	
row_14	COL26A1	11182	-0.9133273363113403	-0.6174914	No	
row_15	CTSB	11192	-0.9170337915420532	-0.6002592	No	
row_16	MMP15	12259	-1.4114989042282104	-0.64364535	No	
row_17	CTSK	12804	-1.7514302730560303	-0.64573765	Yes	
row_18	COL19A1	13065	-1.9192678928375244	-0.62569624	Yes	
row_19	ADAM10	13324	-2.1055612564086914	-0.60189974	Yes	
row_20	COL9A2	13642	-2.380112886428833	-0.5766853	Yes	
row_21	MMP10	13687	-2.420713424682617	-0.5325419	Yes	
row_22	COL17A1	14228	-3.0012564659118652	-0.5100675	Yes	
row_23	MMP11	14361	-3.2004950046539307	-0.45660964	Yes	
row_24	MMP1	14460	-3.3485217094421387	-0.3980145	Yes	
row_25	MMP14	14554	-3.529125452041626	-0.33557555	Yes	
row_26	COL14A1	14559	-3.549647331237793	-0.26682398	Yes	
row_27	COL18A1	14831	-4.237072944641113	-0.20244732	Yes	
row_28	MMP7	14938	-4.720612049102783	-0.11770557	Yes	
row_29	MMP2	15064	-6.5321736335754395	9.967146E-4	Yes	
