NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL35	414	3.511091470718384	-0.010075762	Yes	
row_1	RPL41	469	3.388774871826172	0.0032518131	Yes	
row_2	FAU	510	3.3125643730163574	0.017132549	Yes	
row_3	GSPT1	514	3.306135892868042	0.033449315	Yes	
row_4	RPS27	538	3.2757344245910645	0.048280064	Yes	
row_5	RPS18	596	3.19515061378479	0.060440205	Yes	
row_6	RPLP2	622	3.1302108764648438	0.074410535	Yes	
row_7	RPL36	702	3.028439521789551	0.08427027	Yes	
row_8	RPL19	717	3.0024094581604004	0.09833589	Yes	
row_9	RPL11	757	2.9515020847320557	0.11047953	Yes	
row_10	RPS27A	815	2.887460231781006	0.121102504	Yes	
row_11	RPL39	825	2.880964994430542	0.13489495	Yes	
row_12	RPL27	848	2.839125633239746	0.14761119	Yes	
row_13	RPS16	896	2.7986016273498535	0.1584573	Yes	
row_14	RPS15	901	2.792588710784912	0.17214176	Yes	
row_15	RPS13	930	2.7619330883026123	0.18407212	Yes	
row_16	RPS11	953	2.7394165992736816	0.19629022	Yes	
row_17	RPS9	1000	2.70245623588562	0.20672272	Yes	
row_18	RPLP0	1027	2.6702558994293213	0.21832849	Yes	
row_19	GSPT2	1060	2.6348071098327637	0.22935691	Yes	
row_20	RPS24	1063	2.6302599906921387	0.24236384	Yes	
row_21	RPL36AL	1080	2.617671489715576	0.25437397	Yes	
row_22	RPS21	1152	2.5551998615264893	0.26240313	Yes	
row_23	RPL27A	1156	2.5525355339050293	0.27495503	Yes	
row_24	RPLP1	1168	2.5424909591674805	0.2869231	Yes	
row_25	RPL13	1182	2.5249412059783936	0.29867008	Yes	
row_26	RPS28	1196	2.5092034339904785	0.31033847	Yes	
row_27	RPL10A	1198	2.505265474319458	0.3227876	Yes	
row_28	UBA52	1205	2.50093150138855	0.3348816	Yes	
row_29	RPL8	1207	2.499541759490967	0.34730217	Yes	
row_30	RPS14	1209	2.498318672180176	0.35971665	Yes	
row_31	RPS5	1212	2.4972500801086426	0.37205905	Yes	
row_32	RPS12	1221	2.4895129203796387	0.38396257	Yes	
row_33	RPSA	1227	2.485018730163574	0.39604378	Yes	
row_34	RPL35A	1243	2.4723317623138428	0.40739453	Yes	
row_35	RPL30	1325	2.4053685665130615	0.41400808	Yes	
row_36	RPL22	1338	2.3901760578155518	0.42514852	Yes	
row_37	RPS15A	1368	2.3714029788970947	0.43506116	Yes	
row_38	RPS19	1388	2.3566954135894775	0.44556737	Yes	
