NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC4	5	6.870989799499512	0.013443629	No	
row_1	NID2	29	5.593585014343262	0.02311105	No	
row_2	LAMA3	109	4.5861310958862305	0.02698045	No	
row_3	ADAMTS3	129	4.467854976654053	0.034659848	No	
row_4	FBN3	133	4.4201130867004395	0.04332275	No	
row_5	EFEMP1	206	4.03358268737793	0.0465561	No	
row_6	NCAM1	237	3.943516969680786	0.05244186	No	
row_7	SDC3	291	3.7761974334716797	0.056440603	No	
row_8	CAPN5	328	3.682802438735962	0.061398737	No	
row_9	CTSS	329	3.6810338497161865	0.06878165	No	
row_10	ADAMTS1	420	3.496837615966797	0.06972431	No	
row_11	CRTAP	443	3.442202568054199	0.07514423	No	
row_12	SDC2	468	3.394274950027466	0.08033312	No	
row_13	FBLN5	496	3.336617946624756	0.085204005	No	
row_14	SPP1	567	3.2354607582092285	0.0869715	No	
row_15	PCOLCE	700	3.0317654609680176	0.084148325	No	
row_16	BCAN	863	2.8273086547851562	0.07889146	No	
row_17	COL2A1	878	2.8150885105133057	0.083593234	No	
row_18	SNTA1	909	2.7813682556152344	0.08714812	No	
row_19	FGA	979	2.7229981422424316	0.08795524	No	
row_20	PLOD2	980	2.7228763103485107	0.093416415	No	
row_21	BMP4	1252	2.465583086013794	0.08008161	No	
row_22	SH3PXD2A	1285	2.4375815391540527	0.08281206	No	
row_23	PPIB	1331	2.3977346420288086	0.084585704	No	
row_24	P3H2	1348	2.386672019958496	0.08829331	No	
row_25	ITGA1	1508	2.2613959312438965	0.08210378	No	
row_26	FGG	1539	2.2385692596435547	0.08456999	No	
row_27	SDC1	1974	1.964694619178772	0.059235632	No	
row_28	P4HB	2071	1.9095898866653442	0.05659008	No	
row_29	CEACAM1	2150	1.8641794919967651	0.055067617	No	
row_30	CAPN15	2238	1.8151408433914185	0.05283971	No	
row_31	CD47	2434	1.7071127891540527	0.04311015	No	
row_32	SNTB1	2521	1.6621218919754028	0.040642798	No	
row_33	DMD	2919	1.4598809480667114	0.016791737	No	
