NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YES1	6724	0.17351235449314117	-0.44277936	No	
row_1	LYN	8962	-0.2255752831697464	-0.58644915	No	
row_2	LCK	10382	-0.6179264783859253	-0.6672918	No	
row_3	SERPINC1	11294	-0.9571597576141357	-0.7070458	No	
row_4	TGFBR1	11401	-1.0040534734725952	-0.6923234	No	
row_5	PRNP	12054	-1.3169628381729126	-0.70707875	Yes	
row_6	TGFB1	12086	-1.3294035196304321	-0.68032396	Yes	
row_7	FLT1	12119	-1.3463544845581055	-0.6532682	Yes	
row_8	SRC	12571	-1.5946089029312134	-0.6486575	Yes	
row_9	VEGFA	12674	-1.6529313325881958	-0.6196057	Yes	
row_10	FGFR1	12878	-1.7887325286865234	-0.5943179	Yes	
row_11	TGFBR2	13022	-1.887513279914856	-0.5629046	Yes	
row_12	TGFB3	13239	-2.0392849445343018	-0.53304964	Yes	
row_13	FGF2	13458	-2.222450017929077	-0.49935764	Yes	
row_14	SMAD2	13979	-2.7045843601226807	-0.4752716	Yes	
row_15	FYN	14006	-2.7495133876800537	-0.41740534	Yes	
row_16	APP	14173	-2.927842140197754	-0.36497134	Yes	
row_17	SLIT2	14258	-3.047658920288086	-0.30449483	Yes	
row_18	GPC1	14308	-3.117535352706909	-0.24017946	Yes	
row_19	LAMA1	14357	-3.19919490814209	-0.17402779	Yes	
row_20	NRG1	14770	-4.036491870880127	-0.11390175	Yes	
row_21	PLA2G2A	15057	-6.198946952819824	0.0014609888	Yes	
