NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F8	23	5.6736063957214355	0.011508367	Yes	
row_1	UBE2S	35	5.464372634887695	0.023339763	Yes	
row_2	RRM2	52	5.187048435211182	0.03419816	Yes	
row_3	CDCA3	64	5.024934768676758	0.0450188	Yes	
row_4	ATAD2	77	4.890466213226318	0.055463124	Yes	
row_5	POLD3	90	4.803310871124268	0.06570698	Yes	
row_6	SPC25	95	4.773618221282959	0.076418735	Yes	
row_7	CIT	104	4.698572158813477	0.08668978	Yes	
row_8	SPAG5	108	4.61627721786499	0.09710665	Yes	
row_9	CENPM	134	4.418572425842285	0.105594255	Yes	
row_10	MCM3	150	4.303692817687988	0.11448786	Yes	
row_11	CDC20	151	4.303212642669678	0.12438572	Yes	
row_12	TK1	156	4.262792587280273	0.13392252	Yes	
row_13	RAD51AP1	165	4.208361625671387	0.14306602	Yes	
row_14	DCLRE1B	173	4.176483631134033	0.15220323	Yes	
row_15	SPC24	182	4.138645648956299	0.16118638	Yes	
row_16	AURKA	184	4.12490177154541	0.17060709	Yes	
row_17	CDCA8	189	4.105747699737549	0.17978266	Yes	
row_18	LIG1	203	4.042579650878906	0.18820973	Yes	
row_19	RFC2	204	4.041722297668457	0.19750613	Yes	
row_20	HMGB3	209	4.029055118560791	0.20650531	Yes	
row_21	ESPL1	218	3.9998579025268555	0.21516924	Yes	
row_22	HELLS	220	3.9927165508270264	0.2242859	Yes	
row_23	MKI67	221	3.991657257080078	0.23346715	Yes	
row_24	UBE2T	247	3.9124481678009033	0.2407906	Yes	
row_25	PTTG1	259	3.8804025650024414	0.2489787	Yes	
row_26	SMC4	264	3.86445951461792	0.2575993	Yes	
row_27	AURKB	266	3.8542516231536865	0.26639748	Yes	
row_28	MYBL2	281	3.8050856590270996	0.27421126	Yes	
row_29	TOP2A	282	3.8025803565979004	0.2829576	Yes	
row_30	AK2	287	3.788083791732788	0.29140252	Yes	
row_31	NOLC1	290	3.781639575958252	0.29996666	Yes	
row_32	HMGB2	305	3.7308051586151123	0.3076096	Yes	
row_33	ANP32E	308	3.723536252975464	0.31604007	Yes	
row_34	SUV39H1	331	3.677593231201172	0.32302442	Yes	
row_35	NAA38	341	3.661686658859253	0.33084348	Yes	
row_36	PLK1	343	3.659217357635498	0.33919308	Yes	
row_37	CDKN2C	350	3.6407527923583984	0.34716505	Yes	
row_38	UBR7	353	3.6362667083740234	0.3553948	Yes	
row_39	HMMR	354	3.6267056465148926	0.36373666	Yes	
