NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK12	1603	2.200670003890991	-0.08105932	No	
row_1	SPINK9	3251	1.2992138862609863	-0.17550845	No	
row_2	CAPNS1	3522	1.1674789190292358	-0.1799126	No	
row_3	KLK14	3721	1.0901598930358887	-0.18042605	No	
row_4	LIPM	5071	0.6093167662620544	-0.2630654	No	
row_5	KRT10	5198	0.5657778382301331	-0.26487744	No	
row_6	SPINK5	7094	0.10455046594142914	-0.38968635	No	
row_7	PRSS8	7275	0.0744769424200058	-0.40079233	No	
row_8	PCSK6	7542	0.029554961249232292	-0.41813895	No	
row_9	PKP2	8554	-0.1412515491247177	-0.48373353	No	
row_10	DSP	9782	-0.4336935877799988	-0.56029814	No	
row_11	FURIN	10142	-0.5330126881599426	-0.5779856	No	
row_12	KRT86	10284	-0.5784525871276855	-0.58064806	No	
row_13	TGM5	11108	-0.8849764466285706	-0.6251073	No	
row_14	PKP3	11553	-1.0777870416641235	-0.642124	No	
row_15	LIPJ	11708	-1.1456977128982544	-0.6390667	No	
row_16	KAZN	11859	-1.2217384576797485	-0.6348607	No	
row_17	KRT34	12330	-1.4557644128799438	-0.64921904	Yes	
row_18	KRT15	12385	-1.4879059791564941	-0.6355393	Yes	
row_19	ST14	12397	-1.4963161945343018	-0.6189022	Yes	
row_20	FLG	12435	-1.521662950515747	-0.60370004	Yes	
row_21	TGM1	12616	-1.61164391040802	-0.5969633	Yes	
row_22	EVPL	12624	-1.617690086364746	-0.5786514	Yes	
row_23	KRT13	12626	-1.6197644472122192	-0.55991644	Yes	
row_24	KRT6C	12714	-1.6896313428878784	-0.54608965	Yes	
row_25	KRT17	12853	-1.7751290798187256	-0.5346621	Yes	
row_26	CAPN1	13490	-2.245250701904297	-0.5508959	Yes	
row_27	PKP4	13660	-2.396068572998047	-0.53432244	Yes	
row_28	KRT39	13745	-2.464038372039795	-0.5113072	Yes	
row_29	DSC3	13902	-2.607173442840576	-0.49141872	Yes	
row_30	KRT16	14073	-2.803701877593994	-0.47018006	Yes	
row_31	JUP	14101	-2.8412508964538574	-0.4389957	Yes	
row_32	DSG2	14102	-2.842313528060913	-0.4060034	Yes	
row_33	KRT18	14254	-3.0372586250305176	-0.38079017	Yes	
row_34	PERP	14272	-3.0650668144226074	-0.3463428	Yes	
row_35	KRT6B	14358	-3.1999361515045166	-0.31485212	Yes	
row_36	DSC2	14487	-3.4024791717529297	-0.28387	Yes	
row_37	KRT8	14552	-3.5275917053222656	-0.2471795	Yes	
row_38	KRT6A	14586	-3.5946574211120605	-0.20764893	Yes	
row_39	PPL	14624	-3.651745557785034	-0.16772172	Yes	
row_40	KRT7	14920	-4.637275695800781	-0.1335126	Yes	
row_41	KRT19	15033	-5.7499003410339355	-0.07421866	Yes	
row_42	KRT80	15068	-6.651828289031982	7.316573E-4	Yes	
