NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC11C	210	4.027602195739746	0.002908754	Yes	
row_1	SSR2	373	3.575352191925049	0.007122018	Yes	
row_2	RPL35	414	3.511091470718384	0.019214157	Yes	
row_3	RPL41	469	3.388774871826172	0.02985682	Yes	
row_4	FAU	510	3.3125643730163574	0.041114163	Yes	
row_5	RPS27	538	3.2757344245910645	0.05308498	Yes	
row_6	RPS18	596	3.19515061378479	0.06271307	Yes	
row_7	RPLP2	622	3.1302108764648438	0.07420557	Yes	
row_8	RPL36	702	3.028439521789551	0.08166314	Yes	
row_9	RPL19	717	3.0024094581604004	0.09335299	Yes	
row_10	RPN2	747	2.962217092514038	0.10387189	Yes	
row_11	RPL11	757	2.9515020847320557	0.115681656	Yes	
row_12	RPS27A	815	2.887460231781006	0.12401593	Yes	
row_13	RPL39	825	2.880964994430542	0.13552909	Yes	
row_14	RPL27	848	2.839125633239746	0.14599796	Yes	
row_15	RPS16	896	2.7986016273498535	0.15462655	Yes	
row_16	RPS15	901	2.792588710784912	0.16610207	Yes	
row_17	RPS13	930	2.7619330883026123	0.17584558	Yes	
row_18	RPS11	953	2.7394165992736816	0.18589519	Yes	
row_19	RPS9	1000	2.70245623588562	0.19418627	Yes	
row_20	RPLP0	1027	2.6702558994293213	0.20367788	Yes	
row_21	SPCS1	1057	2.6357038021087646	0.21282381	Yes	
row_22	RPS24	1063	2.6302599906921387	0.22354995	Yes	
row_23	RPL36AL	1080	2.617671489715576	0.2334884	Yes	
row_24	RPS21	1152	2.5551998615264893	0.23949039	Yes	
row_25	RPL27A	1156	2.5525355339050293	0.2500233	Yes	
row_26	SEC61B	1160	2.547654867172241	0.2605357	Yes	
row_27	SRPRB	1164	2.5448436737060547	0.27103624	Yes	
row_28	RPLP1	1168	2.5424909591674805	0.2815269	Yes	
row_29	RPL13	1182	2.5249412059783936	0.2912758	Yes	
row_30	RPS28	1196	2.5092034339904785	0.30095854	Yes	
row_31	RPL10A	1198	2.505265474319458	0.31142628	Yes	
row_32	UBA52	1205	2.50093150138855	0.3215418	Yes	
row_33	RPL8	1207	2.499541759490967	0.33198544	Yes	
row_34	RPS14	1209	2.498318672180176	0.34242398	Yes	
row_35	RPS5	1212	2.4972500801086426	0.3527912	Yes	
row_36	RPS12	1221	2.4895129203796387	0.3627251	Yes	
row_37	RPSA	1227	2.485018730163574	0.37284052	Yes	
row_38	RPL35A	1243	2.4723317623138428	0.3822346	Yes	
row_39	DDOST	1296	2.4286069869995117	0.3889734	Yes	
row_40	RPL30	1325	2.4053685665130615	0.39721757	Yes	
row_41	RPL22	1338	2.3901760578155518	0.4064666	Yes	
row_42	RPS15A	1368	2.3714029788970947	0.41450116	Yes	
row_43	RPS19	1388	2.3566954135894775	0.42314184	Yes	
row_44	RPL24	1404	2.3412365913391113	0.4319847	Yes	
