NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS26	122	4.516571044921875	0.0013503298	Yes	
row_1	MARS2	154	4.2670464515686035	0.008316222	Yes	
row_2	SEC11C	210	4.027602195739746	0.013153004	Yes	
row_3	MRPL48	251	3.9093480110168457	0.018751688	Yes	
row_4	EIF4A1	330	3.6783993244171143	0.021293864	Yes	
row_5	PPA2	363	3.6079089641571045	0.026792811	Yes	
row_6	SSR2	373	3.575352191925049	0.03377585	Yes	
row_7	RPL35	414	3.511091470718384	0.038528997	Yes	
row_8	RPL41	469	3.388774871826172	0.04207702	Yes	
row_9	FAU	510	3.3125643730163574	0.046408672	Yes	
row_10	GSPT1	514	3.306135892868042	0.053225327	Yes	
row_11	RPS27	538	3.2757344245910645	0.058626816	Yes	
row_12	RPS18	596	3.19515061378479	0.06156116	Yes	
row_13	RPLP2	622	3.1302108764648438	0.06651863	Yes	
row_14	MRPS7	635	3.1104187965393066	0.072311975	Yes	
row_15	RPL36	702	3.028439521789551	0.0742846	Yes	
row_16	RPL19	717	3.0024094581604004	0.07971357	Yes	
row_17	PARS2	726	2.989373207092285	0.08552005	Yes	
row_18	RPN2	747	2.962217092514038	0.090458505	Yes	
row_19	FARSB	748	2.9620935916900635	0.09674732	Yes	
row_20	RPL11	757	2.9515020847320557	0.10247339	Yes	
row_21	MRPS12	790	2.9071409702301025	0.10648455	Yes	
row_22	MRPL11	805	2.897646427154541	0.111691095	Yes	
row_23	EIF4EBP1	808	2.892425298690796	0.11769693	Yes	
row_24	RPS27A	815	2.887460231781006	0.12342211	Yes	
row_25	RPL39	825	2.880964994430542	0.1289309	Yes	
row_26	MRPL17	844	2.8511641025543213	0.13376863	Yes	
row_27	RPL27	848	2.839125633239746	0.13959378	Yes	
row_28	MRPS33	866	2.824026107788086	0.14444144	Yes	
row_29	EIF3K	868	2.8226563930511475	0.15036668	Yes	
row_30	RPS16	896	2.7986016273498535	0.15448505	Yes	
row_31	RPS15	901	2.792588710784912	0.16014385	Yes	
row_32	EIF2B5	924	2.7711639404296875	0.16454162	Yes	
row_33	RPS13	930	2.7619330883026123	0.17006782	Yes	
row_34	RPS11	953	2.7394165992736816	0.17439818	Yes	
row_35	MRPL27	963	2.7331087589263916	0.17959306	Yes	
row_36	MRPS27	985	2.717453956604004	0.18394433	Yes	
row_37	MRPL35	988	2.711885452270508	0.18956687	Yes	
row_38	RPS9	1000	2.70245623588562	0.1945616	Yes	
row_39	RPLP0	1027	2.6702558994293213	0.198475	Yes	
row_40	EIF2S1	1031	2.6680188179016113	0.20393687	Yes	
row_41	SPCS1	1057	2.6357038021087646	0.20784445	Yes	
row_42	GSPT2	1060	2.6348071098327637	0.21330334	Yes	
row_43	RPS24	1063	2.6302599906921387	0.21875258	Yes	
row_44	MRPL54	1075	2.624765157699585	0.22358237	Yes	
row_45	RPL36AL	1080	2.617671489715576	0.22886981	Yes	
row_46	MRPS18B	1144	2.5630133152008057	0.23005688	Yes	
row_47	RPS21	1152	2.5551998615264893	0.2350091	Yes	
row_48	RPL27A	1156	2.5525355339050293	0.24022579	Yes	
row_49	SEC61B	1160	2.547654867172241	0.24543212	Yes	
row_50	SRPRB	1164	2.5448436737060547	0.25063246	Yes	
row_51	RPLP1	1168	2.5424909591674805	0.25582784	Yes	
row_52	RPL13	1182	2.5249412059783936	0.26031062	Yes	
row_53	DAP3	1187	2.5170438289642334	0.26538444	Yes	
row_54	RPS28	1196	2.5092034339904785	0.27017146	Yes	
row_55	RPL10A	1198	2.505265474319458	0.27542287	Yes	
row_56	UBA52	1205	2.50093150138855	0.2803274	Yes	
row_57	RPL8	1207	2.499541759490967	0.28556663	Yes	
row_58	RPS14	1209	2.498318672180176	0.29080328	Yes	
row_59	RPS5	1212	2.4972500801086426	0.2959701	Yes	
row_60	RPS12	1221	2.4895129203796387	0.30071536	Yes	
row_61	RPSA	1227	2.485018730163574	0.30565363	Yes	
row_62	EIF1AX	1229	2.4840731620788574	0.31086004	Yes	
row_63	MRPS10	1239	2.475041627883911	0.315507	Yes	
row_64	RPL35A	1243	2.4723317623138428	0.32055342	Yes	
row_65	MRPL12	1272	2.4474565982818604	0.32385874	Yes	
row_66	EIF3J	1280	2.4422495365142822	0.32857114	Yes	
row_67	OXA1L	1282	2.440168857574463	0.33368433	Yes	
row_68	EEF1B2	1292	2.430241584777832	0.33823618	Yes	
row_69	DDOST	1296	2.4286069869995117	0.34318978	Yes	
row_70	RPL30	1325	2.4053685665130615	0.3464057	Yes	
row_71	RPL22	1338	2.3901760578155518	0.35066992	Yes	
row_72	RPS15A	1368	2.3714029788970947	0.35374624	Yes	
row_73	RPS19	1388	2.3566954135894775	0.35746664	Yes	
row_74	RPL24	1404	2.3412365913391113	0.36142436	Yes	
row_75	RPL34	1410	2.3395040035247803	0.3660537	Yes	
row_76	RPL10	1414	2.33754563331604	0.37081394	Yes	
row_77	AIMP1	1422	2.332336902618408	0.37529302	Yes	
row_78	RPS7	1438	2.3178908824920654	0.37920114	Yes	
row_79	RPL13A	1455	2.298480749130249	0.38300055	Yes	
row_80	RPL28	1471	2.2890405654907227	0.38684744	Yes	
row_81	RPL18	1478	2.283210039138794	0.39128974	Yes	
row_82	RPS8	1481	2.280144691467285	0.39599565	Yes	
row_83	MRPL3	1495	2.271090507507324	0.39993948	Yes	
row_84	SSR1	1507	2.261619806289673	0.4039983	Yes	
row_85	RPL38	1522	2.2531018257141113	0.4078364	Yes	
row_86	RPS23	1534	2.2430646419525146	0.4118558	Yes	
row_87	IARS2	1559	2.222210645675659	0.41495302	Yes	
row_88	RPS20	1560	2.222032308578491	0.4196706	Yes	
row_89	RPL3	1574	2.214249849319458	0.42349377	Yes	
row_90	MRPL4	1582	2.209620952606201	0.4277123	Yes	
row_91	SRPRA	1610	2.1996870040893555	0.4305591	Yes	
row_92	RPL37A	1614	2.1958038806915283	0.43501842	Yes	
