NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	160	0.74677944	3.2314205	0.0	0.0	0.0	2670	tags=79%, list=18%, signal=95%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	78	0.79557127	3.1108139	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	80	0.7968751	3.1052969	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=109%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	78	0.79557127	3.0917056	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	78	0.79557127	3.0872397	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	78	0.79557127	3.0837362	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	78	0.79557127	3.0813477	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	78	0.79557127	3.0810583	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	78	0.79557127	3.0691793	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	78	0.79557127	3.0673459	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	78	0.79557127	3.0662389	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	78	0.79557127	3.062123	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details ...	148	0.72139496	3.0573065	0.0	0.0	0.0	3056	tags=76%, list=20%, signal=94%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	78	0.79557127	3.0545177	0.0	0.0	0.0	2478	tags=91%, list=16%, signal=108%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6	Details ...	89	0.7693184	3.0540676	0.0	0.0	0.0	2478	tags=87%, list=16%, signal=103%	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details ...	139	0.71584946	3.0534174	0.0	0.0	0.0	2943	tags=72%, list=20%, signal=89%	
