NAME	TITLE	SCORE	
NPPC		10.192363	
PPP1R12C		9.632536	
STIM2		8.42582	
RGS16		7.85136	
RARG		7.271655	
SDC4		6.87099	
MC4R		6.6335797	
EPAS1		6.4032536	
CACHD1		6.3280506	
RDH13		6.2656245	
NAPSA		6.2598577	
TBC1D24		6.2470303	
MECOM		6.245304	
PTPN13		6.2045975	
EPS8L1		6.1303296	
KIF5C		5.9935536	
PLPP1		5.9853926	
KCNK5		5.9247956	
GPR160		5.8529234	
TCF19		5.8335323	
FLRT3		5.822674	
HAGLR		5.7975435	
LANCL3		5.695334	
E2F8		5.6736064	
LRIG3		5.654846	
IL1R1		5.647295	
ATP8A1		5.630934	
SLC7A2		5.624359	
ARPIN		5.6198926	
NID2		5.593585	
B3GNT6		5.5791664	
ALAS1		5.503744	
NSMCE4A		5.502397	
WDR76		5.471936	
CCNF		5.465876	
UBE2S		5.4643726	
RGS8		5.461701	
TC2N		5.450359	
OAT		5.4234147	
CISH		5.4188285	
GSDMD		5.4187865	
RAB29		5.4186788	
MPHOSPH9		5.4163475	
CEP70		5.3210654	
RFTN1		5.2963457	
ABCC3		5.287156	
FAM13A		5.2687697	
XK		5.261665	
RFX6		5.2367787	
XBP1		5.235342	
MT2A		5.2177286	
DNAJC12		5.2107987	
RRM2		5.1870484	
HMCES		5.163607	
CENPT		5.145624	
RPS6KA3		5.1408896	
GUSB		5.1280737	
PSME1		5.0823855	
RUNX2		5.0677233	
PER2		5.052956	
BAG1		5.0517883	
PCDH9		5.0424495	
TMEM200C		5.0399604	
GTSE1		5.027892	
CDCA3		5.024935	
RNASE1		5.0226502	
CFH		5.0101843	
BHLHA15		5.0088067	
TNFRSF1A		5.0026703	
TYMS		4.984983	
URB2		4.968047	
HSD17B4		4.9470286	
AGTR1		4.9439836	
ENDOD1		4.9318867	
PDE4DIP		4.914818	
GLB1L2		4.912278	
MAOA		4.892336	
ATAD2		4.890466	
DRAIC		4.8866253	
LRP2		4.8864303	
CENPH		4.876815	
PCP4L1		4.8701224	
NFKBIZ		4.8700504	
HMGN2		4.8683877	
CFTR		4.858567	
RAPGEF5		4.8512654	
