NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL1A2	11	29.397796630859375	0.062180765	Yes	
row_1	COL1A1	20	27.48004722595215	0.12045653	Yes	
row_2	COL3A1	27	26.716320037841797	0.17723057	Yes	
row_3	COL5A2	59	22.85744857788086	0.22408916	Yes	
row_4	SNAI2	70	21.919124603271484	0.2703322	Yes	
row_5	CYR61	127	18.894344329833984	0.30705228	Yes	
row_6	PMP22	145	17.939308166503906	0.34431452	Yes	
row_7	IGFBP5	160	17.21416664123535	0.3802239	Yes	
row_8	RGS4	172	16.717662811279297	0.41526967	Yes	
row_9	SDC2	203	15.382715225219727	0.44619894	Yes	
row_10	TGFBR2	302	13.124903678894043	0.4677879	Yes	
row_11	APBB2	330	12.533764839172363	0.49281946	Yes	
row_12	RUNX1	371	11.59762191772461	0.51498574	Yes	
row_13	SYNE1	425	10.562552452087402	0.534075	Yes	
row_14	PTGFR	508	9.46264934539795	0.5488878	Yes	
row_15	MMP16	569	8.84333610534668	0.56383395	Yes	
row_16	FBLN5	652	8.030447959899902	0.57558185	Yes	
row_17	F3	733	7.340212821960449	0.58598524	Yes	
row_18	HAS2	752	7.180466651916504	0.6001577	Yes	
row_19	LPAR1	807	6.721146106719971	0.61096025	Yes	
row_20	SCHIP1	814	6.660626411437988	0.6248159	Yes	
row_21	KIT	830	6.5321431159973145	0.63779986	Yes	
row_22	IRS1	856	6.337972164154053	0.64970523	Yes	
row_23	PTPN21	899	6.099254608154297	0.65997267	Yes	
row_24	VAV2	918	5.998927593231201	0.6716166	Yes	
row_25	FZD2	1074	5.131906986236572	0.67232156	Yes	
row_26	ACVR2A	1114	4.909104824066162	0.680241	Yes	
row_27	GRK5	1163	4.71145486831665	0.6871407	Yes	
row_28	FYN	1261	4.355098247528076	0.69002897	Yes	
row_29	LAMC1	1300	4.195195198059082	0.69648695	Yes	
row_30	GJA1	1311	4.160314559936523	0.7047268	Yes	
row_31	KALRN	1331	4.09229850769043	0.71222436	Yes	
row_32	ANXA2	1408	3.86177396774292	0.7154493	Yes	
row_33	TFPI	1468	3.6858232021331787	0.71942484	Yes	
row_34	MAP1B	1471	3.6825942993164062	0.72717285	Yes	
row_35	AKT3	1544	3.4714763164520264	0.72982776	Yes	
row_36	ATXN1	1545	3.470885992050171	0.73725533	Yes	
row_37	TJP1	1554	3.4411275386810303	0.74408877	Yes	
row_38	CELF2	1682	3.1106185913085938	0.7423247	No	
row_39	RXRA	1869	2.7037250995635986	0.73577803	No	
row_40	NRP1	1903	2.623079538345337	0.7392033	No	
row_41	CDON	1958	2.519294500350952	0.741014	No	
row_42	ID1	2246	2.0815064907073975	0.72643906	No	
row_43	ZMIZ1	2316	1.972150206565857	0.7260844	No	
row_44	SCN8A	2337	1.940043568611145	0.7289099	No	
row_45	PRDM2	2365	1.898214340209961	0.7311818	No	
row_46	PRKCA	2402	1.8538775444030762	0.7327621	No	
row_47	PLCB4	2486	1.7503031492233276	0.7310044	No	
row_48	ADORA2B	2515	1.7138959169387817	0.73281556	No	
row_49	SLC7A1	2560	1.6770591735839844	0.733487	No	
row_50	AMPH	2580	1.6499314308166504	0.73575807	No	
row_51	BMPR1A	2647	1.5770628452301025	0.7347568	No	
row_52	ABCC1	2744	1.461922287940979	0.73152006	No	
row_53	GCNT1	2769	1.445242166519165	0.7330215	No	
row_54	IGF1R	2787	1.4301679134368896	0.73495483	No	
row_55	CAP2	2824	1.4045251607894897	0.73557353	No	
row_56	ITGB3	3282	1.044735074043274	0.7075082	No	
row_57	PTPRM	3331	1.0058515071868896	0.70647806	No	
row_58	ARHGEF9	3346	0.9959079623222351	0.707681	No	
row_59	PTEN	3373	0.976142942905426	0.708046	No	
row_60	MGLL	3501	0.9006736874580383	0.7015528	No	
row_61	VLDLR	3518	0.8904567360877991	0.70239747	No	
row_62	BDNF	3594	0.8521129488945007	0.69924814	No	
row_63	LTBP1	3917	0.6864062547683716	0.67936707	No	
row_64	PPARG	4015	0.6463778614997864	0.6743188	No	
row_65	MET	4359	0.5041255950927734	0.65265524	No	
row_66	RBPMS	4477	0.45549213886260986	0.6458724	No	
row_67	ATP2B4	4576	0.425982266664505	0.64028615	No	
row_68	DYRK1A	4735	0.37622493505477905	0.63061523	No	
row_69	CITED2	4803	0.352146714925766	0.6269264	No	
row_70	ATP2B1	4972	0.3081393539905548	0.61644673	No	
row_71	MAPK14	5141	0.2671625316143036	0.6058793	No	
row_72	AGGF1	5219	0.24725288152694702	0.60130304	No	
row_73	SIPA1L1	5389	0.20858901739120483	0.590544	No	
row_74	PHF3	5448	0.19517096877098083	0.587116	No	
row_75	NOTCH2	5766	0.12299886345863342	0.5663608	No	
row_76	WDR37	5812	0.11455541104078293	0.56362224	No	
row_77	FAM179B	5944	0.0877833440899849	0.5551242	No	
row_78	NR1D2	6064	0.0675213411450386	0.54737854	No	
row_79	PIK3CD	6509	-0.0077961040660738945	0.51795614	No	
row_80	CDC42BPA	6777	-0.05045221000909805	0.5003609	No	
row_81	PRKCE	6821	-0.057881031185388565	0.49763367	No	
row_82	FHL2	6973	-0.08571647107601166	0.48780516	No	
row_83	LDLR	7020	-0.09231232106685638	0.48495272	No	
row_84	NIPBL	7056	-0.09892702102661133	0.48284376	No	
row_85	MAP2K5	7233	-0.1298348754644394	0.47145206	No	
row_86	KCNMA1	7554	-0.19071803987026215	0.45064285	No	
row_87	MIOS	7576	-0.1947256326675415	0.44966716	No	
row_88	ERBB2	7672	-0.21426443755626678	0.4438268	No	
row_89	CACNA1A	8116	-0.31041860580444336	0.4151183	No	
row_90	SPOP	8151	-0.3181110620498657	0.4135447	No	
row_91	RASA2	8512	-0.4094206392765045	0.39055136	No	
row_92	YTHDC1	8549	-0.41854891180992126	0.38906008	No	
row_93	ATP2C1	8630	-0.4397234320640564	0.38469672	No	
row_94	MRPS31	8644	-0.4431954026222229	0.38478318	No	
row_95	NR3C1	8852	-0.4970535337924957	0.3721219	No	
row_96	INPP4B	8948	-0.5240181088447571	0.36694437	No	
row_97	DBP	9100	-0.5656229853630066	0.35814285	No	
row_98	SFMBT1	9608	-0.7313246130943298	0.32609162	No	
row_99	MGMT	9610	-0.731774091720581	0.3275913	No	
row_100	PEX14	9866	-0.8228816390037537	0.31244466	No	
row_101	ANXA4	10148	-0.9272052049636841	0.29579735	No	
row_102	INSIG1	10445	-1.0403656959533691	0.27839765	No	
row_103	MT1E	10545	-1.0827856063842773	0.27415064	No	
row_104	TGFBR3	10608	-1.1074610948562622	0.2724097	No	
row_105	MYC	11181	-1.3755977153778076	0.23742744	No	
row_106	PIK3R3	11952	-1.7749199867248535	0.19017147	No	
row_107	NFIB	12008	-1.8012003898620605	0.19037923	No	
row_108	NFKB1	12016	-1.8070248365402222	0.19378206	No	
row_109	ADD3	12136	-1.8972822427749634	0.18995197	No	
row_110	SRI	13321	-2.9079532623291016	0.11767069	No	
row_111	CDKN1B	13389	-2.9834158420562744	0.11961271	No	
